liutong_rate,liutong_value,name,price,global_pro,huanshou_rate,price_change
100%,?                        ,"
EmberCoin
                            ",￥0.000396,"
?%                                  ",?%,0%
100%,?                        ,"
InsaneCoin
                            ",￥0.7959,"
?%                                  ",?%,53.07%
?%,?                        ,"
Infinity Economics
                            ",￥0.1303,"
?%                                  ",?%,7.55%
12.32%,?                        ,"
Impeachcoin
                            ",￥0.1545,"
?%                                  ",?%,0%
?%,?                        ,"
India Coin
                            ",￥0.003328,"
?%                                  ",?%,-8.66%
?%,?                        ,"
Intelligent Investment Chain
                            ",￥0.04,"
?%                                  ",?%,-9.02%
?%,?                        ,"
Hyper
                            ",￥0.2113,"
?%                                  ",?%,-15.89%
?%,?                        ,"
ABTC
                            ",￥0.1097,"
?%                                  ",?%,23.36%
?%,?                        ,"
9COIN
                            ",￥0.0217,"
?%                                  ",?%,0%
100%,"¥2,288,510","
Prototanium
                            ",￥11.65,"
<0.1%                                  ",0.03%,-20.84%
9.74%,?                        ,"
Stakecoin
                            ",￥14.41,"
?%                                  ",?%,0%
?%,?                        ,"
SportsCoin
                            ",￥0.0105,"
?%                                  ",?%,-6.62%
?%,?                        ,"
Sphre AIR
                            ",￥1.07,"
?%                                  ",?%,-5.44%
?%,?                        ,"
Sparks
                            ",￥0.8839,"
?%                                  ",?%,1.48%
100%,"¥2,274,739","
WayGuide
                            ",￥0.0227,"
<0.1%                                  ",0%,-6.62%
98.69%,"¥17,769,669","
Magnet
                            ",￥0.9416,"
<0.1%                                  ",0.62%,-1.83%
100%,"¥53,995,803","
BunnyCoin
                            ",￥0.000525,"
<0.1%                                  ",0.03%,18.82%
100%,"¥17,888,685","
Hexx
                            ",￥11.6,"
<0.1%                                  ",0.28%,7.19%
100%,"¥17,919,183","
BlueCoin
                            ",￥0.0312,"
<0.1%                                  ",0.02%,-13.28%
1.99%,"¥18,205,187","
Ellaism
                            ",￥3.27,"
<0.1%                                  ",0.79%,-2.76%
100%,"¥18,710,850","
Magi
                            ",￥2.41,"
<0.1%                                  ",0.61%,-6.02%
64.6%,"¥18,986,281","
ChainCoin
                            ",￥1.28,"
<0.1%                                  ",17.68%,-9.05%
100%,"¥19,009,144","
YashCoin
                            ",￥1.9,"
<0.1%                                  ",0%,0.02%
100%,"¥19,319,745","
Sexcoin
                            ",￥0.153,"
<0.1%                                  ",0.14%,1.36%
63.69%,"¥19,320,600","
Startcoin
                            ",￥0.4286,"
<0.1%                                  ",1.42%,-4.33%
11.88%,"¥19,460,338","
Creativecoin
                            ",￥1.42,"
<0.1%                                  ",0.29%,-15.42%
6.3%,"¥19,859,015","
Zephyr
                            ",￥0.1576,"
<0.1%                                  ",0.05%,-6.38%
58.2%,"¥19,591,257","
MarteXcoin
                            ",￥6.73,"
<0.1%                                  ",0.02%,2.39%
100%,"¥20,446,371","
Quark
                            ",￥0.0803,"
<0.1%                                  ",0.18%,-9.97%
30.25%,"¥20,043,414","
Bitzeny
                            ",￥0.2651,"
<0.1%                                  ",0.3%,-4.27%
10.74%,"¥20,625,218","
Zero
                            ",￥7.68,"
<0.1%                                  ",0.15%,-12.29%
