liutong_rate,liutong_value,name,price,global_pro,huanshou_rate,price_change
80.54%,"¥940,554,596,008","
Bitcoin
                            ","￥55,613","
41.2%                                   ",3.88%,-6.52%
100%,"¥658,452,149","
BitcoinDark
                            ",￥511,"
<0.1%                                  ",0.01%,-5.81%
53%,"¥515,115,907","
ArcBlock
                            ",￥5.23,"
<0.1%                                  ",49.09%,-3.12%
100%,"¥513,036,215","
SaluS
                            ",￥508,"
<0.1%                                  ",9.16%,-5.98%
100%,"¥513,470,245","
NAV Coin
                            ",￥8.21,"
<0.1%                                  ",2.2%,-9.04%
16.15%,"¥505,053,456","
ZenCash
                            ",￥149,"
<0.1%                                  ",1.66%,-9.43%
51%,"¥835,882,916","
TenX
                            ",￥7.99,"
<0.1%                                  ",4.37%,-15.92%
51.53%,"¥683,354,427","
Vertcoin
                            ",￥15.79,"
<0.1%                                  ",1.9%,-9.26%
7.68%,"¥528,091,062","
Skycoin
                            ",￥68.77,"
<0.1%                                  ",0.84%,-10.48%
18.21%,"¥659,380,699","
MinexCoin
                            ",￥191,"
<0.1%                                  ",0.3%,2.4%
57.37%,"¥850,800,370","
Bitcore
                            ",￥70.62,"
<0.1%                                  ",1.2%,-6.65%
100%,"¥910,135,160","
Nexus
                            ",￥16.23,"
<0.1%                                  ",2.65%,-6.91%
35.54%,"¥215,378,489","
BOTTOS
                            ",￥0.606,"
<0.1%                                  ",2.12%,-10.54%
40%,"¥813,400,888","
Nuls
                            ",￥20.34,"
<0.1%                                  ",5.36%,-6.31%
66.28%,"¥218,963,253","
Groestlcoin
                            ",￥3.15,"
<0.1%                                  ",0.85%,-7.82%
100%,"¥233,364,354","
Aeon
                            ",￥14.97,"
<0.1%                                  ",0.23%,-8.54%
99.96%,"¥239,860,470","
Counterparty
                            ",￥91.65,"
<0.1%                                  ",0.26%,-9.42%
84.63%,"¥260,017,506","
Gulden
                            ",￥0.6606,"
<0.1%                                  ",0.35%,-11.24%
86.19%,"¥264,527,356","
Experience Points
                            ",￥0.001209,"
<0.1%                                  ",0.94%,-40.36%
100%,"¥274,691,037","
Einsteinium
                            ",￥1.27,"
<0.1%                                  ",1.49%,-5.29%
29.03%,"¥277,163,876","
LBRY Credits
                            ",￥1.81,"
<0.1%                                  ",2.22%,-14.71%
100%,"¥279,417,804","
Rise
                            ",￥2.3,"
<0.1%                                  ",0%,-3.77%
99.98%,"¥282,480,805","
Viacoin
                            ",￥12.28,"
<0.1%                                  ",17.7%,-7.86%
46.6%,"¥284,543,736","
ATMchain
                            ",￥0.0611,"
<0.1%                                  ",15.37%,-5.9%
69.81%,"¥290,118,317","
HTMLCOIN
                            ",￥0.004423,"
<0.1%                                  ",0.48%,-5.4%
76.61%,"¥648,491,267","
GameCredits
                            ",￥10.08,"
<0.1%                                  ",0.92%,-10.29%
49.44%,"¥504,898,997","
Pura
                            ",￥2.92,"
<0.1%                                  ",0.91%,-20.62%
40.64%,"¥252,820,533","
AppCoins
                            ",￥2.53,"
<0.1%                                  ",3.71%,-11.11%
66.15%,"¥244,917,504","
XtraBYtes
                            ",￥0.5696,"
<0.1%                                  ",0.28%,-10.7%
37.56%,"¥273,944,202","
Metaverse ETP
                            ",￥7.29,"
<0.1%                                  ",4.16%,-7.31%
57.82%,"¥308,210,927","
Feathercoin
                            ",￥1.59,"
<0.1%                                  ",1.85%,-1.01%
99.46%,"¥291,460,878","
CloakCoin
                            ",￥57.12,"
<0.1%                                  ",2.01%,-11.21%
50%,"¥311,083,218","
IoT Chain
                            ",￥6.22,"
<0.1%                                  ",18.15%,-8.78%
50%,"¥315,057,815","
Ink
                            ",￥0.6301,"
<0.1%                                  ",42.12%,-8.8%
50.06%,"¥744,961,696","
Blocknet
                            ",￥148,"
<0.1%                                  ",0.41%,-16.28%
16.63%,"¥209,425,385","
ZClassic
                            ",￥59.97,"
<0.1%                                  ",5.18%,-12.2%
83.39%,"¥318,918,999","
Burst
                            ",￥0.1771,"
<0.1%                                  ",2.8%,-12.33%
100%,"¥334,188,047","
BridgeCoin
                            ",￥12.38,"
<0.1%                                  ",0.17%,-23.8%
30%,"¥341,810,733","
Ubique Chain of Things
                            ",￥1.09,"
<0.1%                                  ",10.17%,-9.56%
17%,"¥338,489,161","
HPB
                            ",￥19.91,"
<0.1%                                  ",5.41%,-4.35%
100%,"¥338,192,703","
BitBay
                            ",￥0.3348,"
<0.1%                                  ",1.35%,-10.99%
55%,"¥372,310,716","
ChatCoin
                            ",￥0.6769,"
<0.1%                                  ",18.33%,-9.52%
67.58%,"¥380,667,002","
Asch
                            ",￥5.08,"
<0.1%                                  ",2.75%,-8.42%
29.59%,"¥437,567,498","
Achain
                            ",￥1.48,"
<0.1%                                  ",15.2%,-0.17%
77.47%,"¥378,385,721","
ION
                            ",￥18.65,"
<0.1%                                  ",2.69%,-9.57%
4.62%,"¥375,722,369","
BitBean
                            ",￥0.1628,"
<0.1%                                  ",2.6%,-2.85%
100%,"¥487,008,375","
DigitalNote
                            ",￥0.0706,"
<0.1%                                  ",3.96%,-7.81%
100%,"¥359,989,714","
Peercoin
                            ",￥14.6,"
<0.1%                                  ",0.48%,-6.71%
49.11%,"¥945,586,094","
Bancor
                            ",￥24.26,"
<0.1%                                  ",0.72%,-5.28%
