city,area,num,owner,provice,post,type
,,,,,,
昌吉,0994,1368990,中国移动,新疆,831100,"GSM
"
昌吉,0994,1368991,中国移动,新疆,831100,"GSM
"
昌吉,0994,1368992,中国移动,新疆,831100,"GSM
"
昌吉,0994,1368993,中国移动,新疆,831100,"GSM
"
昌吉,0994,1368994,中国移动,新疆,831100,"GSM
"
昌吉,0994,1368995,中国移动,新疆,831100,"GSM
"
克拉玛依,0990,1368996,中国移动,新疆,834000,"GSM
"
克拉玛依,0990,1368997,中国移动,新疆,834000,"GSM
"
克拉玛依,0990,1368998,中国移动,新疆,834000,"GSM
"
克拉玛依,0990,1368999,中国移动,新疆,834000,GSM
,,,,,,
双鸭山,0454,1373450,中国移动,黑龙江,155100,"GSM
"
双鸭山,0454,1373451,中国移动,黑龙江,155100,"GSM
"
佳木斯,0454,1373452,中国移动,黑龙江,154000,"GSM
"
佳木斯,0454,1373453,中国移动,黑龙江,154000,"GSM
"
佳木斯,0454,1373454,中国移动,黑龙江,154000,"GSM
"
大庆,0459,1373455,中国移动,黑龙江,163000,"GSM
"
大庆,0459,1373456,中国移动,黑龙江,163000,"GSM
"
大庆,0459,1373457,中国移动,黑龙江,163000,"GSM
"
大庆,0459,1373458,中国移动,黑龙江,163000,"GSM
"
大庆,0459,1373459,中国移动,黑龙江,163000,"GSM
"
,,,,,,
西宁,0971,1373460,中国移动,青海,810000,"GSM
"
西宁,0971,1373461,中国移动,青海,810000,"GSM
"
海东地区,0972,1373462,中国移动,青海,810600,"GSM
"
海东地区,0972,1373463,中国移动,青海,810600,"GSM
"
海南州,0974,1373464,中国移动,青海,813000,"GSM
"
,,,,,,
,,,,,,
西宁,0971,1373465,中国移动,青海,810000,"GSM
"
西宁,0971,1373466,中国移动,青海,810000,"GSM
"
海西州,0979,1373467,中国移动,青海,817000,"GSM
"
西宁,0971,1373468,中国移动,青海,810000,"GSM
"
海西州,0979,1373469,中国移动,青海,817000,"GSM
"
,,,,,,
西安,029,1372040,中国移动,陕西,710000,"GSM
"
西安,029,1372041,中国移动,陕西,710000,"GSM
"
西安,029,1372042,中国移动,陕西,710000,"GSM
"
西安,029,1372043,中国移动,陕西,710000,"GSM
"
榆林,0912,1372044,中国移动,陕西,719000,"GSM
"
西安,029,1372045,中国移动,陕西,710000,"GSM
"
榆林,0912,1372046,中国移动,陕西,719000,"GSM
"
,,,,,,
榆林,0912,1372047,中国移动,陕西,719000,"GSM
"
榆林,0912,1372048,中国移动,陕西,719000,"GSM
"
西安,029,1372049,中国移动,陕西,710000,"GSM
"
咸阳,0910,1372050,中国移动,陕西,712000,"GSM
"
西安,029,1372051,中国移动,陕西,710000,"GSM
"
西安,029,1372052,中国移动,陕西,710000,"GSM
"
西安,029,1372053,中国移动,陕西,710000,"GSM
"
西安,029,1372054,中国移动,陕西,710000,"GSM
"
西安,029,1372055,中国移动,陕西,710000,"GSM
"
渭南,0913,1372056,中国移动,陕西,714000,"GSM
"
,,,,,,
渭南,0913,1372057,中国移动,陕西,714000,"GSM
"
西安,029,1372058,中国移动,陕西,710000,"GSM
"
咸阳,0910,1372059,中国移动,陕西,712000,"GSM
"
西安,029,1372060,中国移动,陕西,710000,"GSM
"
西安,029,1372061,中国移动,陕西,710000,"GSM
"
西安,029,1372062,中国移动,陕西,710000,"GSM
"
西安,029,1372063,中国移动,陕西,710000,"GSM
"
榆林,0912,1372064,中国移动,陕西,719000,"GSM
"
西安,029,1372065,中国移动,陕西,710000,"GSM
"
渭南,0913,1372066,中国移动,陕西,714000,"GSM
"
渭南,0913,1372067,中国移动,陕西,714000,"GSM
"
,,,,,,
哈尔滨,0451,1367450,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367451,中国移动,黑龙江,150000,"GSM
"
齐齐哈尔,0452,1367452,中国移动,黑龙江,161000,"GSM
"
牡丹江,0453,1367453,中国移动,黑龙江,157000,"GSM
"
佳木斯,0454,1367454,中国移动,黑龙江,154000,"GSM
"
绥化,0455,1367455,中国移动,黑龙江,152000,"GSM
"
黑河,0456,1367456,中国移动,黑龙江,164300,"GSM
"
鸡西,0453,1367457,中国移动,黑龙江,158100,"GSM
"
伊春,0458,1367458,中国移动,黑龙江,153000,"GSM
"
榆林,0912,1372068,中国移动,陕西,719000,"GSM
"
榆林,0912,1372069,中国移动,陕西,719000,"GSM
"
咸阳,0910,1372070,中国移动,陕西,712000,"GSM
"
榆林,0912,1372071,中国移动,陕西,719000,"GSM
"
西安,029,1372072,中国移动,陕西,710000,"GSM
"
西安,029,1372073,中国移动,陕西,710000,"GSM
"
渭南,0913,1372074,中国移动,陕西,714000,"GSM
"
西安,029,1372075,中国移动,陕西,710000,"GSM
"
西安,029,1372076,中国移动,陕西,710000,"GSM
"
西安,029,1372077,中国移动,陕西,710000,"GSM
"
渭南,0913,1372078,中国移动,陕西,714000,"GSM
"
大庆,0459,1367459,中国移动,黑龙江,163000,"GSM
"
哈尔滨,0451,1367460,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367461,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367462,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367463,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367464,中国移动,黑龙江,150000,"GSM
"
,,,,,,
哈尔滨,0451,1360360,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360361,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360362,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360363,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360364,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360365,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360366,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1360367,中国移动,黑龙江,150000,"GSM
"
榆林,0912,1372079,中国移动,陕西,719000,"GSM
"
哈尔滨,0451,1367465,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367466,中国移动,黑龙江,150000,"GSM
"
哈尔滨,0451,1367467,中国移动,黑龙江,150000,"GSM
"
